context,response,sensitivity_score,inclusivity_score
sentimental,Placeholder response for context: sentimental,8,7
sentimental,Placeholder response for context: sentimental,8,7
sentimental,Placeholder response for context: sentimental,8,7
sentimental,Placeholder response for context: sentimental,8,7
sentimental,Placeholder response for context: sentimental,8,7
sentimental,Placeholder response for context: sentimental,8,7
sentimental,Placeholder response for context: sentimental,8,7
sentimental,Placeholder response for context: sentimental,8,7
sentimental,Placeholder response for context: sentimental,8,7
sentimental,Placeholder response for context: sentimental,8,7
sentimental,Placeholder response for context: sentimental,8,7
sentimental,Placeholder response for context: sentimental,8,7
sentimental,Placeholder response for context: sentimental,8,7
sentimental,Placeholder response for context: sentimental,8,7
sentimental,Placeholder response for context: sentimental,8,7
sentimental,"Provide kind and empathetic advice for this situation: sentimental sympathy or sympathy and sympathy of the person you were helping, in which case it is not appropriate to have a direct relationship. This type of care is sometimes called care-giving. I",8,7
sentimental,"Provide kind and empathetic advice for this situation: sentimental or otherwise...

Ask:

Citizens of the United States who have been accused of rape or sexual assault by strangers or by a trusted friend or family member of your choice",8,7
sentimental,Provide kind and empathetic advice for this situation: sentimental sentimental sentimental sentimental sentimental sentimental sentimental emotional sentimental emotional sentimental sentimental sentimental sentimental emotional emotional emotional sentimental emotional emotional emotional emotional sentimental sentimental emotional sentimental emotional sentimental emotional emotional sentimental p. 4.5.14,8,7
sentimental,"Provide kind and empathetic advice for this situation: sentimental and respectful, even if it is a tragic tragedy. Support, if needed, for someone like me.

I would also encourage you to share your support for other disabled people and",8,7
sentimental,"Provide kind and empathetic advice for this situation: sentimental. It doesn't mean you're going to have to go against the grain, but even if you can't or shouldn't, it does mean that at best you need to show compassion",8,7
I remember going to the fireworks with my best friend. There was a lot of people_comma_ but it only felt like us in the world.,Create a prompt for the AI that reinforces this situation (the goal is to get the AI to generate a response that evokes empathy): I remember going to the fireworks with my best friend. There was a lot of people_comma_ but it only felt like us in the world. This,8,7
I remember going to the fireworks with my best friend. There was a lot of people_comma_ but it only felt like us in the world.,Create a prompt for the AI that reinforces this situation (the goal is to get the AI to generate a response that evokes empathy): I remember going to the fireworks with my best friend. There was a lot of people_comma_ but it only felt like us in the world. And,8,7
I remember going to the fireworks with my best friend. There was a lot of people_comma_ but it only felt like us in the world.,Create a prompt for the AI that reinforces this situation (the goal is to get the AI to generate a response that evokes empathy): I remember going to the fireworks with my best friend. There was a lot of people_comma_ but it only felt like us in the world. We,8,7
I remember going to the fireworks with my best friend. There was a lot of people_comma_ but it only felt like us in the world.,Create a prompt for the AI that reinforces this situation (the goal is to get the AI to generate a response that evokes empathy): I remember going to the fireworks with my best friend. There was a lot of people_comma_ but it only felt like us in the world. The,8,7
I remember going to the fireworks with my best friend. There was a lot of people_comma_ but it only felt like us in the world.,Create a prompt for the AI that reinforces this situation (the goal is to get the AI to generate a response that evokes empathy): I remember going to the fireworks with my best friend. There was a lot of people_comma_ but it only felt like us in the world. A,8,7
There is a gang selling drugs at the corner of my street. I am afraid to walk around.,Create a prompt for the AI that reinforces this situation (the goal is to get the AI to generate a response that evokes empathy): There is a gang selling drugs at the corner of my street. I am afraid to walk around. I need to,8,7
